timestamp,pattern,sti,lti
2025-09-01 09:46:49.350554,Ants,7007.007007007007,7007.007007007007
2025-09-01 09:46:49.758647,Ants,7007.007007007007,7007.007007007007
2025-09-01 09:46:49.758647,farm,6516.025535044554,6516.025535044554
2025-09-01 09:46:50.227127,Ants,7007.007007007007,7007.007007007007
2025-09-01 09:46:50.227127,farm,6516.025535044554,6516.025535044554
2025-09-01 09:46:50.227127,Botulinum,6059.4471692256175,6059.4471692256175
2025-09-01 09:46:53.432298,Ants,7004.9149821184,7004.9149821184
2025-09-01 09:46:53.432298,farm,6513.933546816002,6513.933546816002
2025-09-01 09:46:53.432298,Botulinum,6057.355217656476,6057.355217656476
2025-09-01 09:46:53.432298,avoids,5635.301038777416,5635.301038777416
