timestamp,pattern,sti,lti
2025-06-25 14:30:21.875382,Ants,7000.0,7000.0
2025-06-25 14:30:25.366437,Ants,7000.0,7000.0
2025-06-25 14:30:25.366475,(SimilarityLink abamectin Ants),2800.0,0
2025-06-25 14:30:34.414149,Ants,4200.0,7000.0
2025-06-25 14:30:34.414184,(SimilarityLink abamectin Ants),2800.0,0
2025-06-25 14:30:34.414210,Botulinum,12815.815815815817,12815.815815815817
2025-06-25 14:30:42.344048,Ants,4200.7,7000.0
2025-06-25 14:30:42.344084,(SimilarityLink abamectin Ants),2800.0,0
2025-06-25 14:30:42.344110,Botulinum,12815.815815815817,12815.815815815817
2025-06-25 14:30:45.269573,Ants,4200.7,7000.0
2025-06-25 14:30:45.269609,(SimilarityLink abamectin Ants),2799.3,0
2025-06-25 14:30:45.269636,Botulinum,12815.815815815817,12815.815815815817
2025-06-25 14:30:53.116377,Ants,4760.349999999999,7000.0
2025-06-25 14:30:53.116412,(SimilarityLink abamectin Ants),2239.65,0
2025-06-25 14:30:53.116439,Botulinum,12815.815815815817,12815.815815815817
2025-06-25 14:30:53.116465,abamectin,559.65,0
2025-06-25 14:31:27.646215,Ants,3640.6999999999985,7000.0
2025-06-25 14:31:27.646252,(SimilarityLink abamectin Ants),2240.0,0
2025-06-25 14:31:27.646278,Botulinum,12815.815815815817,12815.815815815817
2025-06-25 14:31:27.646304,abamectin,1119.3,0
2025-06-25 14:31:27.646332,(SimilarityLink acetamiprid Botulinum),5126.326326326327,0
