timestamp,pattern,sti,lti
2025-06-25 10:45:34.101615,Ants,7000.0,7000.0
2025-06-25 10:45:37.331982,Ants,7000.0,7000.0
2025-06-25 10:45:37.332017,(SimilarityLink abamectin Ants),2800.0,0
2025-06-25 10:45:45.759770,Ants,4200.0,7000.0
2025-06-25 10:45:45.759804,(SimilarityLink abamectin Ants),2800.0,0
2025-06-25 10:45:45.759829,farm,12815.815815815817,12815.815815815817
2025-06-25 10:45:53.260913,Ants,4201.700646551724,7000.0
2025-06-25 10:45:53.260948,(SimilarityLink abamectin Ants),2800.0,0
2025-06-25 10:45:53.260978,farm,12815.815815815817,12815.815815815817
2025-06-25 10:45:56.107007,Ants,4201.700646551724,7000.0
2025-06-25 10:45:56.107040,(SimilarityLink abamectin Ants),2798.2993534482757,0
2025-06-25 10:45:56.107066,farm,12815.815815815817,12815.815815815817
2025-06-25 10:46:03.657205,Ants,4760.850323275862,7000.0
2025-06-25 10:46:03.657241,(SimilarityLink abamectin Ants),2239.149676724138,0
2025-06-25 10:46:03.657268,farm,12815.815815815817,12815.815815815817
2025-06-25 10:46:03.657294,abamectin,559.149676724138,0
2025-06-25 10:46:50.451737,Ants,3641.7006465517243,7000.0
2025-06-25 10:46:50.451775,(SimilarityLink abamectin Ants),2240.0,0
2025-06-25 10:46:50.451804,farm,12815.815815815817,12815.815815815817
2025-06-25 10:46:50.451832,abamectin,1118.299353448276,0
2025-06-25 10:46:50.451868,aphids,11917.81070359649,11917.81070359649
2025-06-25 10:47:13.174678,Ants,3641.8518151341,7000.0
2025-06-25 10:47:13.174716,(SimilarityLink abamectin Ants),2240.0,0
2025-06-25 10:47:13.174744,farm,12815.815815815817,12815.815815815817
2025-06-25 10:47:13.174772,abamectin,1118.299353448276,0
2025-06-25 10:47:13.174801,aphids,11917.81070359649,11917.81070359649
2025-06-25 10:47:16.714956,Ants,3641.8518151341,7000.0
2025-06-25 10:47:16.715000,(SimilarityLink abamectin Ants),2239.8488314176243,0
2025-06-25 10:47:16.715029,farm,12815.815815815817,12815.815815815817
2025-06-25 10:47:16.715057,abamectin,1118.299353448276,0
2025-06-25 10:47:16.715085,aphids,11917.81070359649,11917.81070359649
2025-06-25 10:47:19.968902,Ants,3641.8518151341,7000.0
2025-06-25 10:47:19.968941,(SimilarityLink abamectin Ants),2239.8488314176243,0
2025-06-25 10:47:19.968974,farm,12815.87803803804,12815.815815815817
2025-06-25 10:47:19.969002,abamectin,1118.299353448276,0
2025-06-25 10:47:19.969031,aphids,11917.81070359649,11917.81070359649
2025-06-25 10:47:26.516351,Ants,3641.8518151341,7000.0
2025-06-25 10:47:26.516389,(SimilarityLink abamectin Ants),2239.786609195402,0
2025-06-25 10:47:26.516418,farm,12815.87803803804,12815.815815815817
2025-06-25 10:47:26.516446,abamectin,1118.3615756704983,0
2025-06-25 10:47:26.516474,aphids,11917.81070359649,11917.81070359649
2025-06-25 10:49:50.807008,Ants,3081.4544604775438,7000.0
2025-06-25 10:49:50.807047,(SimilarityLink abamectin Ants),2352.046877661069,0
2025-06-25 10:49:50.807077,farm,12815.028880955553,12815.815815815817
2025-06-25 10:49:50.807106,abamectin,1625.6828691692788,0
2025-06-25 10:49:50.807135,aphids,11859.413431148867,11917.81070359649
2025-06-25 10:49:50.807165,.,11082.728872513651,11082.728872513651
2025-06-25 10:50:23.697355,Ants,3081.4544604775438,7000.0
2025-06-25 10:50:23.697394,(SimilarityLink abamectin Ants),2352.046877661069,0
2025-06-25 10:50:23.697423,farm,12815.028880955553,12815.815815815817
2025-06-25 10:50:23.697453,abamectin,1625.7196199017421,0
