timestamp,pattern,sti,lti
2025-06-27 08:12:30.683060,Ants,7000.0,7000.0
2025-06-27 08:12:38.400039,Ants,4200.0,7000.0
2025-06-27 08:12:38.400072,(SimilarityLink abamectin Ants),2800.0,0
2025-06-27 08:12:50.568199,Ants,4200.0,7000.0
2025-06-27 08:12:50.568232,(SimilarityLink abamectin Ants),2800.0,0
2025-06-27 08:12:50.568257,farm,6516.516516516516,6516.516516516516
2025-06-27 08:12:55.459334,Ants,4154.774983409854,6954.774983409854
2025-06-27 08:12:55.459367,(SimilarityLink abamectin Ants),2800.0,0
2025-06-27 08:12:55.459392,farm,6516.516516516516,6516.516516516516
2025-06-27 08:13:00.827807,Ants,4154.774983409854,6954.774983409854
2025-06-27 08:13:00.827840,(SimilarityLink abamectin Ants),2754.79303287156,0.0
2025-06-27 08:13:00.827865,farm,6516.516516516516,6516.516516516516
2025-06-27 08:13:26.059851,Ants,2492.8649900459122,6954.774983409854
2025-06-27 08:13:26.059884,(SimilarityLink abamectin Ants),3314.785813086878,0.0
2025-06-27 08:13:26.059908,farm,6471.32759164618,6471.309549388076
2025-06-27 08:13:26.059932,abamectin,550.122012061443,0
2025-06-27 08:14:03.057599,Ants,3596.455392220274,6954.774983409854
2025-06-27 08:14:03.057630,(SimilarityLink abamectin Ants),2212.868599938254,0.0
2025-06-27 08:14:03.057660,farm,6471.32759164618,6471.309549388076
2025-06-27 08:14:03.057684,abamectin,1100.244024122886,0
2025-06-27 08:14:03.057710,aphids,6069.406714159229,6066.240323027172
2025-06-27 08:14:08.527841,Ants,3459.153889332466,6817.4250969378945
2025-06-27 08:14:08.527874,(SimilarityLink abamectin Ants),2212.868599938254,0.0
2025-06-27 08:14:08.527900,farm,6471.32759164618,6471.309549388076
2025-06-27 08:14:08.527924,abamectin,1100.244024122886,0
2025-06-27 08:14:08.527948,aphids,6069.406714159229,6066.240323027172
2025-06-27 08:14:14.473650,Ants,3459.153889332466,6817.4250969378945
2025-06-27 08:14:14.473683,(SimilarityLink abamectin Ants),2075.725182206862,0.0
2025-06-27 08:14:14.473708,farm,6471.32759164618,6471.309549388076
2025-06-27 08:14:14.473732,abamectin,1100.244024122886,0
2025-06-27 08:14:14.473756,aphids,6069.406714159229,6066.240323027172
2025-06-27 08:14:19.894064,Ants,3459.153889332466,6817.4250969378945
2025-06-27 08:14:19.894096,(SimilarityLink abamectin Ants),2075.725182206862,0.0
2025-06-27 08:14:19.894121,farm,6334.342077056323,6334.1178037800555
2025-06-27 08:14:19.894145,abamectin,1100.244024122886,0
2025-06-27 08:14:19.894169,aphids,6069.406714159229,6066.240323027172
2025-06-27 08:14:26.544036,Ants,3459.153889332466,6817.4250969378945
2025-06-27 08:14:26.544070,(SimilarityLink abamectin Ants),2075.725182206862,0.0
2025-06-27 08:14:26.544096,farm,6334.342077056323,6334.1178037800555
2025-06-27 08:14:26.544121,abamectin,963.4162308692506,0.0
2025-06-27 08:14:26.544146,aphids,6069.406714159229,6066.240323027172
2025-06-27 08:17:08.642767,Ants,2906.0279925843665,6817.4250969378945
2025-06-27 08:17:08.642809,(SimilarityLink abamectin Ants),2184.0642277147854,0.0
2025-06-27 08:17:08.642842,farm,6334.07338854308,6334.1178037800555
2025-06-27 08:17:08.642892,abamectin,1437.5421792798338,0.0
2025-06-27 08:17:08.642916,aphids,5903.666051988662,5929.206536204068
2025-06-27 08:17:08.642942,.,5692.11594713939,5670.0175569724315
